user_id,user_name,user_average_stars
GjkQtuoTTkfi1MIQRcAuRw,Bailey,5.0
qKR-sHIGsYwR3PVxGIxMJA,Nathan,5.0
q2y4K7AhnwDaei-l4vVLtw,Anna Marie,5.0
q8p4YylZBNI_rv1D1RRKew,Andy,5.0
2ur1v5gVWCKlHRV17FOERA,Laura,5.0
jM2tgm04yihxRW-hVe1GgQ,Diana,5.0
djn4pQw2aAf4V2GGD0mvpg,Cathy,5.0
avJY4d4HNfFWrJvv5ljJ4w,Nadia,5.0
DjTsEIDVabohpYH9fy0bQg,Kellie,5.0
cJE4HXLi9dV78lJQJ4z0aA,Kellie,5.0
5F3uxY0m8Bgys1f934Dr-w,Tricia,5.0
7U8KPnh49QH4_LagRm_80A,Jenny,5.0
0bJabeAkpnIKLaTOsEaZ1Q,Carol,5.0
qYjmiy8lfcYIviYsG39e7w,Matt,5.0
3dkRgf27HftqTedt4JMWfw,Ryan,5.0
L9PKrN7nMTi5l7Qnc94YBA,Mimi,5.0
Fm0TeuBzUWlnXcQDP7IYuw,Alemayehu,5.0
WdLChvnJAeiqdoMymWUJ7A,Tonya,5.0
T93XfI3WiIScEdpiHc1OSA,Ali,5.0
aqWtfqSs7VAvB6r_5GC6ew,Katie,5.0
mLkCHJh_yMahVn-kBrIuFw,Josh,5.0
5swOWsWRlZpkKwVdT6a4pA,Stephen,5.0
U18lm2IYVQRPr4HdtU7Njw,Andrew,5.0
2AABu_xWRaefXkGPF_Nqhw,Devin,5.0
qVng2Vk87jAiXWvjaMhMig,Rob,5.0
VhqHor2_djxvZPqm9oA_rQ,Jeffery,5.0
VPwlCkRVhh2-yOAkqxj0GA,Jennifer,5.0
FGDVarZiGx5pPdOkB-P_wQ,Jessica,5.0
lWZLJ7YDqv5bLX-huBHp8w,Jessica,5.0
iknxRDsW9lKMRVk8aNAMlg,Amy,5.0
bfm34rxm7cheAUevuRH3rw,Katie,5.0
ssHBp6oc4sODKxSFEnmvPA,Kara,5.0
0uta4em5_RVX36MDbrOmrg,Ken,5.0
gpdl-9Qvz5YXOad9-T-uLg,Claire,5.0
dgUN831yMI95c--oL4etgA,Daniel ED,5.0
31NQtO8_gvdNRLqLKHRnPw,Madeline,5.0
cOV3UKNQoPM_ssEKPsSZmw,Emma,5.0
EfIzSGaFBWki5Hies2J0vg,Josh,5.0
zc9CkwXApMBcYPcOW1ESew,Kelsey,5.0
QKso7NTxQg9rCXlOzmzgWA,Curtis,5.0
TsLh_HMKv2N-ZGz2TO_83A,Rene,5.0
m8Qp5VWWOV542B4LI5fNTQ,Annalise,5.0
fyenIERZ1e8hYWXW7VxQjQ,Jenna,5.0
ljPx5utXErJMAEtl4QCwCA,Casey,5.0
VRb7cYn0p53eG_JY8MLICA,Mallie,5.0
6qZReCo2ZcLa5Xaki3UTUw,Jason,5.0
LJeprZ_1R3hEQ94a1GeXwQ,Brendon,5.0
7dR761dzK4t5Xwh5fVnWsw,John,5.0
jqrniZ9bI8ojYYW1DVysDA,Stuti,5.0
jQdIn4bV9YfwUK5Y1MK57Q,Mat,5.0
rReMx6pPo38B05hv3lovMw,Whitney,5.0
jOljP9OlY9vy66PbOoDqDw,John,5.0
dJTPBU_XVUPJTdZX9w2mvA,B,5.0
IyIQZA5v9Ky_YNxvF-ZF-Q,Courtney,5.0
sRsY3G2Z3So1OrlGsVgoMg,Sha-Ronn,5.0
Ue1mhHQqO0j_V8dN96UVMw,Emma,5.0
d4RplENKObj6vHgWXU5PWA,Anna,5.0
uwdId9Nn44m2nxZ_2-EzFg,Julie,5.0
yZKqgro3CBIAGVJGtnWHVg,Kamala Narayan,5.0
y3ZEPzll2NDs9zW3vGuMuw,Fernando,5.0
tlMMOcdAVjLRx895aTGz5Q,Nicole,5.0
PDNfmgkOeFhTPdmDWh5fMw,Rene,5.0
YHfjJYda6JJuy7PvC1z46A,Kelley,5.0
M9M4wmt_HB3Y3FPxpTuIEQ,Maria,5.0
6LHLBU42-fqAiolwkTPt8Q,Janet,5.0
oXRXoD90PWO6iw6VS3eiHA,Jasmine,5.0
7T2SWJRGkz2yNH-Snoio5g,Dick,5.0
7BVHk8dnfaSSWP6p7MzP_Q,Lilian,5.0
1euQMvcxk_xf_3YdifpFQw,Tanisha,5.0
aT554pExSmzQIy7jA6vzzg,Robert,5.0
t-ywhpQJgHoEwHr4AB2Hjw,Danah,5.0
RkG33N4bVbsUnGGnfwjQRw,Lindsey,5.0
uJCouNWJHGz8MD90cNu8KQ,Peggy,5.0
AVsoa_vA5dP_63hF6z3zkA,Joseph,5.0
kfsZSuuK8zNMWkzizp9h4g,Barbara,5.0
VMfOceEocGUF0RvJ-mxU3Q,Joseph,5.0
vMHSRIvtsn2S2GQJ8Oi_5g,Laurren,5.0
wG4Ikpbui-WcRGMo4JPhMg,Olivia,5.0
rpJ6CFJ-EXvnD9TBcw2L5w,Julia,5.0
B74aRRovxYNuwIljIzL20A,Dan,5.0
UoXAzSbuyx3GS9ZWODUtEw,Wednesday,5.0
OwN1FXD9Omm95ElDiWpDRA,Charolette,5.0
kR7oTvlvs1RZpWBNw1p6IA,Ricky,5.0
4BXkiTDeYsPoFBjHEVRzXg,C,5.0
XuYnlCpKuPwZDCVsvNq-wA,Jamie,5.0
_qL7k0lzfkLinKAQbUyaAg,Heather,5.0
T7khyVUDA334S6kzuIHgIQ,Niki,5.0
KcW_fuZlLVytWEXM1f_zKQ,Jessica,5.0
w4K_I82xWJLx5jDjnglO7A,Isaac,5.0
QknwS3kwUIKlLxOl5hP3fQ,Joel,5.0
X5wvPy1mIcq5VNCcNLpV8A,Vicki,5.0
Fm6jRnc_DtZTtXQjPFlgHQ,Ashley,5.0
-27M11pjcQIis58YoH-5Bg,Kham,5.0
X489FenmpoYZAXFwsLo0PQ,Anna,5.0
PX8onWWVAyyNM5W9LDFg6Q,Brian,5.0
A2iMosGTGbrcTrTGRBFMFA,Heather,5.0
dZWTMtiq3-ReOogk0FtAXA,Patrick,5.0
EM2v0vxOn2gjNm2i9n3fNQ,Junlin,5.0
r4njkWKYtzcU7UkidAKSFg,Emie,5.0
cYnmU2cs7DSC--PHVW06gA,Bryan,5.0
